date,action,tic,num_of_shares,price,total_num_shares,balance
2022-06-14,sell,NESTLEIND.NS,0,16871.45,0,10238386.45
2022-06-14,sell,LUPIN.NS,0,609.35,0,10238386.45
2022-06-14,sell,KOTAKBANK.NS,0,1739.7,0,10238386.45
2022-06-14,sell,ITC.NS,4,265.45,0,10239447.19
2022-06-14,sell,IOC.NS,0,110.25,0,10239447.19
2022-06-14,sell,INFY.NS,0,1440.55,0,10239447.19
2022-06-14,sell,INDUSINDBK.NS,0,844.2,0,10239447.19
2022-06-14,sell,HINDUNILVR.NS,2,2171.0,0,10243784.85
2022-06-14,sell,JSWSTEEL.NS,0,561.9,0,10243784.85
2022-06-14,sell,HEROMOTOCO.NS,0,2557.6,0,10243784.85
2022-06-14,sell,HDFCBANK.NS,0,1312.0,0,10243784.85
2022-06-14,sell,HDFC.NS,0,2109.5,0,10243784.85
2022-06-14,sell,HCLTECH.NS,0,996.9,0,10243784.85
2022-06-14,sell,AXISBANK.NS,1,650.75,0,10244434.95
2022-06-14,sell,GRASIM.NS,0,1309.35,0,10244434.95
2022-06-14,sell,HINDALCO.NS,0,358.3,0,10244434.95
2022-06-14,sell,BAJFINANCE.NS,0,5375.75,0,10244434.95
2022-06-14,sell,DRREDDY.NS,0,4311.05,0,10244434.95
2022-06-14,buy,WIPRO.NS,5,445.9,51,10242203.22
2022-06-14,buy,SBIN.NS,5,448.1,42,10239960.48
2022-06-14,buy,UPL.NS,5,715.7,47,10236378.4
2022-06-14,buy,LT.NS,5,1544.65,55,10228647.42
2022-06-14,buy,EICHERMOT.NS,5,2722.75,51,10215020.06
2022-06-14,buy,M&M.NS,5,1019.25,54,10209918.71
2022-06-14,buy,MARUTI.NS,5,7811.65,57,10170821.41
2022-06-14,buy,NTPC.NS,5,151.4,50,10170063.65
2022-06-14,buy,POWERGRID.NS,5,223.95,53,10168942.78
2022-06-14,buy,RELIANCE.NS,5,2628.1,49,10155789.14
2022-06-14,buy,CIPLA.NS,5,964.7,59,10150960.81
2022-06-14,buy,BHARTIARTL.NS,5,682.05,44,10147547.15
2022-06-14,buy,TATASTEEL.NS,5,996.15,54,10142561.42
2022-06-14,buy,BAJAJ-AUTO.NS,5,3681.75,57,10124134.26
2022-06-14,buy,SUNPHARMA.NS,5,825.05,53,10120004.89
2022-06-14,buy,BAJAJFINSV.NS,5,11336.5,56,10063265.71
2022-06-14,buy,TECHM.NS,5,1030.15,52,10058109.81
2022-06-14,buy,TATACONSUM.NS,5,735.85,59,10054426.88
2022-06-14,buy,ICICIBANK.NS,5,685.5,49,10050995.95
2022-06-17,sell,ASIANPAINT.NS,0,2580.2,0,9859607.0
2022-06-17,sell,ULTRACEMCO.NS,0,5177.3,0,9859607.0
2022-06-17,sell,TITAN.NS,0,1936.45,0,9859607.0
2022-06-17,sell,TCS.NS,0,3088.9,0,9859607.0
2022-06-17,sell,TATAMOTORS.NS,0,388.95,0,9859607.0
2022-06-17,sell,SHREECEM.NS,0,18045.75,0,9859607.0
2022-06-17,sell,ONGC.NS,0,141.45,0,9859607.0
2022-06-17,sell,NESTLEIND.NS,0,16642.4,0,9859607.0
2022-06-17,sell,LUPIN.NS,0,597.6,0,9859607.0
2022-06-17,sell,KOTAKBANK.NS,0,1673.6,0,9859607.0
2022-06-17,sell,ITC.NS,0,263.3,0,9859607.0
2022-06-17,sell,IOC.NS,0,104.2,0,9859607.0
2022-06-17,sell,INFY.NS,0,1387.3,0,9859607.0
2022-06-17,sell,INDUSINDBK.NS,0,806.9,0,9859607.0
2022-06-17,sell,HINDUNILVR.NS,0,2110.45,0,9859607.0
2022-06-17,sell,JSWSTEEL.NS,0,554.6,0,9859607.0
2022-06-17,sell,HEROMOTOCO.NS,0,2467.4,0,9859607.0
2022-06-17,sell,HDFCBANK.NS,0,1289.75,0,9859607.0
2022-06-17,sell,HDFC.NS,0,2052.7,0,9859607.0
2022-06-17,sell,HCLTECH.NS,0,958.75,0,9859607.0
2022-06-17,sell,AXISBANK.NS,0,635.2,0,9859607.0
2022-06-17,sell,GRASIM.NS,0,1290.05,0,9859607.0
2022-06-17,sell,HINDALCO.NS,0,333.7,0,9859607.0
2022-06-17,sell,BAJFINANCE.NS,0,5419.55,0,9859607.0
2022-06-17,sell,DRREDDY.NS,0,4146.7,0,9859607.0
2022-06-17,buy,WIPRO.NS,5,405.2,61,9857578.98
2022-06-17,buy,SBIN.NS,5,441.0,52,9855371.77
2022-06-17,buy,UPL.NS,5,665.15,57,9852042.7
2022-06-17,buy,LT.NS,5,1489.95,65,9844585.5
2022-06-17,buy,EICHERMOT.NS,5,2604.8,61,9831548.47
2022-06-17,buy,M&M.NS,5,997.65,64,9826555.24
2022-06-17,buy,MARUTI.NS,5,7688.15,67,9788076.05
2022-06-17,buy,NTPC.NS,5,140.45,60,9787373.09
2022-06-17,buy,POWERGRID.NS,5,211.35,63,9786315.29
2022-06-17,buy,RELIANCE.NS,5,2590.0,59,9773352.34
2022-06-17,buy,CIPLA.NS,5,914.75,69,9768774.01
2022-06-17,buy,BHARTIARTL.NS,5,643.65,54,9765552.54
2022-06-17,buy,TATASTEEL.NS,5,906.7,64,9761014.51
2022-06-17,buy,BAJAJ-AUTO.NS,5,3628.95,67,9742851.62
2022-06-17,buy,SUNPHARMA.NS,5,793.4,63,9738880.65
2022-06-17,buy,BAJAJFINSV.NS,5,11754.85,66,9680047.63
2022-06-17,buy,TECHM.NS,5,965.05,62,9675217.55
2022-06-17,buy,TATACONSUM.NS,5,711.65,69,9671655.74
2022-06-17,buy,ICICIBANK.NS,5,686.85,59,9668218.06
2022-06-20,sell,ASIANPAINT.NS,0,2660.7,0,9477736.52
2022-06-20,sell,ULTRACEMCO.NS,0,5333.3,0,9477736.52
2022-06-20,sell,TITAN.NS,0,1961.7,0,9477736.52
2022-06-20,sell,TCS.NS,0,3112.4,0,9477736.52
2022-06-20,sell,TATAMOTORS.NS,0,382.7,0,9477736.52
2022-06-20,sell,SHREECEM.NS,0,18414.0,0,9477736.52
2022-06-20,sell,ONGC.NS,0,134.4,0,9477736.52
2022-06-20,sell,NESTLEIND.NS,0,16967.1,0,9477736.52
2022-06-20,sell,LUPIN.NS,0,606.8,0,9477736.52
2022-06-20,sell,KOTAKBANK.NS,0,1679.2,0,9477736.52
2022-06-20,sell,ITC.NS,0,264.1,0,9477736.52
2022-06-20,sell,IOC.NS,0,103.05,0,9477736.52
2022-06-20,sell,INFY.NS,0,1414.15,0,9477736.52
2022-06-20,sell,INDUSINDBK.NS,0,784.05,0,9477736.52
2022-06-20,sell,HINDUNILVR.NS,0,2195.9,0,9477736.52
2022-06-20,sell,JSWSTEEL.NS,0,550.35,0,9477736.52
2022-06-20,sell,HEROMOTOCO.NS,0,2452.55,0,9477736.52
2022-06-20,sell,HDFCBANK.NS,0,1322.15,0,9477736.52
2022-06-20,sell,HDFC.NS,0,2135.25,0,9477736.52
2022-06-20,sell,HCLTECH.NS,0,960.05,0,9477736.52
2022-06-20,sell,AXISBANK.NS,0,628.3,0,9477736.52
2022-06-20,sell,GRASIM.NS,0,1316.0,0,9477736.52
2022-06-20,sell,HINDALCO.NS,0,321.5,0,9477736.52
2022-06-20,sell,BAJFINANCE.NS,0,5470.45,0,9477736.52
2022-06-20,sell,DRREDDY.NS,0,4151.8,0,9477736.52
2022-06-20,buy,WIPRO.NS,5,414.65,71,9475661.19
2022-06-20,buy,SBIN.NS,5,434.7,62,9473485.52
2022-06-20,buy,UPL.NS,5,640.45,67,9470280.07
2022-06-20,buy,LT.NS,5,1471.8,75,9462913.71
2022-06-20,buy,EICHERMOT.NS,5,2623.25,71,9449784.34
2022-06-20,buy,M&M.NS,5,982.7,74,9444865.93
2022-06-20,buy,MARUTI.NS,5,7660.95,77,9406522.87
2022-06-20,buy,NTPC.NS,5,137.25,70,9405835.94
2022-06-20,buy,POWERGRID.NS,5,208.25,73,9404793.64
2022-06-20,buy,RELIANCE.NS,5,2543.05,69,9392065.68
2022-06-20,buy,CIPLA.NS,5,925.85,79,9387431.8
2022-06-20,buy,BHARTIARTL.NS,5,640.9,64,9384224.09
2022-06-20,buy,TATASTEEL.NS,5,861.4,74,9379912.79
2022-06-20,buy,BAJAJ-AUTO.NS,5,3615.95,77,9361814.96
2022-06-20,buy,SUNPHARMA.NS,5,805.3,73,9357784.43
2022-06-20,buy,BAJAJFINSV.NS,5,11709.65,76,9299177.63
2022-06-20,buy,TECHM.NS,5,979.35,72,9294275.99
2022-06-20,buy,TATACONSUM.NS,5,716.85,79,9290688.15
2022-06-20,buy,ICICIBANK.NS,5,685.95,69,9287254.97
2022-06-21,sell,ASIANPAINT.NS,0,2678.35,0,9287254.97
2022-06-21,sell,ULTRACEMCO.NS,0,5418.9,0,9287254.97
2022-06-21,sell,TITAN.NS,0,2078.1,0,9287254.97
2022-06-21,sell,TCS.NS,0,3211.95,0,9287254.97
2022-06-21,sell,TATAMOTORS.NS,0,397.6,0,9287254.97
2022-06-21,sell,SHREECEM.NS,0,18551.35,0,9287254.97
2022-06-21,sell,ONGC.NS,0,139.1,0,9287254.97
2022-06-21,sell,NESTLEIND.NS,0,16971.8,0,9287254.97
2022-06-21,sell,LUPIN.NS,0,629.85,0,9287254.97
2022-06-21,sell,KOTAKBANK.NS,0,1681.5,0,9287254.97
2022-06-21,sell,ITC.NS,0,269.9,0,9287254.97
2022-06-21,sell,IOC.NS,0,105.75,0,9287254.97
2022-06-21,sell,INFY.NS,0,1449.9,0,9287254.97
2022-06-21,sell,INDUSINDBK.NS,0,798.85,0,9287254.97
2022-06-21,sell,HINDUNILVR.NS,0,2205.0,0,9287254.97
2022-06-21,sell,JSWSTEEL.NS,0,576.2,0,9287254.97
2022-06-21,sell,HEROMOTOCO.NS,0,2499.2,0,9287254.97
2022-06-21,sell,HDFCBANK.NS,0,1336.55,0,9287254.97
2022-06-21,sell,HDFC.NS,0,2174.7,0,9287254.97
2022-06-21,sell,HCLTECH.NS,0,986.6,0,9287254.97
2022-06-21,sell,AXISBANK.NS,0,636.5,0,9287254.97
2022-06-21,sell,GRASIM.NS,0,1334.1,0,9287254.97
2022-06-21,sell,HINDALCO.NS,0,339.25,0,9287254.97
2022-06-21,sell,BAJFINANCE.NS,0,5549.15,0,9287254.97
2022-06-21,sell,DRREDDY.NS,0,4268.65,0,9287254.97
2022-06-21,buy,WIPRO.NS,5,425.15,76,9285127.09
2022-06-21,buy,SBIN.NS,5,450.75,67,9282871.09
2022-06-21,buy,UPL.NS,5,654.2,72,9279596.82
2022-06-21,buy,LT.NS,5,1500.3,80,9272087.82
2022-06-21,buy,EICHERMOT.NS,5,2702.8,76,9258560.3
2022-06-21,buy,M&M.NS,5,997.95,79,9253565.56
2022-06-21,buy,MARUTI.NS,5,7780.6,82,9214623.66
2022-06-21,buy,NTPC.NS,5,139.95,75,9213923.21
2022-06-21,buy,POWERGRID.NS,5,210.35,78,9212870.41
2022-06-21,buy,RELIANCE.NS,5,2584.1,74,9199936.99
2022-06-21,buy,CIPLA.NS,5,938.2,84,9195241.3
2022-06-21,buy,BHARTIARTL.NS,5,654.3,69,9191966.53
2022-06-21,buy,TATASTEEL.NS,5,884.8,79,9187538.1
2022-06-21,buy,BAJAJ-AUTO.NS,5,3645.25,82,9169293.62
2022-06-21,buy,SUNPHARMA.NS,5,817.45,78,9165202.29
2022-06-21,buy,BAJAJFINSV.NS,5,11749.9,81,9106394.04
2022-06-21,buy,TECHM.NS,5,1000.1,77,9101388.54
2022-06-21,buy,TATACONSUM.NS,5,727.25,84,9097748.65
2022-06-21,buy,ICICIBANK.NS,5,696.1,74,9094264.67
2022-06-22,sell,ASIANPAINT.NS,0,2666.35,0,8904633.23
2022-06-22,sell,ULTRACEMCO.NS,0,5409.95,0,8904633.23
2022-06-22,sell,TITAN.NS,0,2031.2,0,8904633.23
2022-06-22,sell,TCS.NS,0,3222.95,0,8904633.23
2022-06-22,sell,TATAMOTORS.NS,0,393.1,0,8904633.23
2022-06-22,sell,SHREECEM.NS,0,18496.75,0,8904633.23
2022-06-22,sell,ONGC.NS,0,134.85,0,8904633.23
2022-06-22,sell,NESTLEIND.NS,0,16775.15,0,8904633.23
2022-06-22,sell,LUPIN.NS,0,613.15,0,8904633.23
2022-06-22,sell,KOTAKBANK.NS,0,1669.7,0,8904633.23
2022-06-22,sell,ITC.NS,0,265.3,0,8904633.23
2022-06-22,sell,IOC.NS,0,105.55,0,8904633.23
2022-06-22,sell,INFY.NS,0,1437.25,0,8904633.23
2022-06-22,sell,INDUSINDBK.NS,0,777.65,0,8904633.23
2022-06-22,sell,HINDUNILVR.NS,0,2202.85,0,8904633.23
2022-06-22,sell,JSWSTEEL.NS,0,550.4,0,8904633.23
2022-06-22,sell,HEROMOTOCO.NS,0,2524.45,0,8904633.23
2022-06-22,sell,HDFCBANK.NS,0,1330.25,0,8904633.23
2022-06-22,sell,HDFC.NS,0,2159.25,0,8904633.23
2022-06-22,sell,HCLTECH.NS,0,961.3,0,8904633.23
2022-06-22,sell,AXISBANK.NS,0,626.8,0,8904633.23
2022-06-22,sell,GRASIM.NS,0,1324.9,0,8904633.23
2022-06-22,sell,HINDALCO.NS,0,316.45,0,8904633.23
2022-06-22,sell,BAJFINANCE.NS,0,5439.6,0,8904633.23
2022-06-22,sell,DRREDDY.NS,0,4260.9,0,8904633.23
2022-06-22,buy,WIPRO.NS,5,411.25,86,8902574.92
2022-06-22,buy,SBIN.NS,5,447.65,77,8900334.43
2022-06-22,buy,UPL.NS,5,613.65,82,8897263.12
2022-06-22,buy,LT.NS,5,1478.75,90,8889861.97
2022-06-22,buy,EICHERMOT.NS,5,2662.75,86,8876534.91
2022-06-22,buy,M&M.NS,5,983.8,89,8871610.99
2022-06-22,buy,MARUTI.NS,5,7782.75,92,8832658.33
2022-06-22,buy,NTPC.NS,5,137.65,85,8831969.39
2022-06-22,buy,POWERGRID.NS,5,210.65,88,8830915.08
2022-06-22,buy,RELIANCE.NS,5,2505.6,84,8818374.56
2022-06-22,buy,CIPLA.NS,5,916.9,94,8813785.47
2022-06-22,buy,BHARTIARTL.NS,5,642.85,79,8810568.01
2022-06-22,buy,TATASTEEL.NS,5,838.1,89,8806373.32
2022-06-22,buy,BAJAJ-AUTO.NS,5,3635.65,92,8788176.89
2022-06-22,buy,SUNPHARMA.NS,5,809.3,88,8784126.34
2022-06-22,buy,BAJAJFINSV.NS,5,11435.55,91,8726891.42
2022-06-22,buy,TECHM.NS,5,980.0,87,8721986.52
2022-06-22,buy,TATACONSUM.NS,5,708.95,94,8718438.22
2022-06-22,buy,ICICIBANK.NS,5,686.6,84,8715001.79
2022-06-23,sell,ASIANPAINT.NS,0,2758.2,0,8520148.13
2022-06-23,sell,ULTRACEMCO.NS,0,5410.3,0,8520148.13
2022-06-23,sell,TITAN.NS,0,2041.4,0,8520148.13
2022-06-23,sell,TCS.NS,0,3308.8,0,8520148.13
2022-06-23,sell,TATAMOTORS.NS,0,407.2,0,8520148.13
2022-06-23,sell,SHREECEM.NS,0,18533.6,0,8520148.13
2022-06-23,sell,ONGC.NS,0,134.8,0,8520148.13
2022-06-23,sell,NESTLEIND.NS,0,16976.3,0,8520148.13
2022-06-23,sell,LUPIN.NS,0,628.8,0,8520148.13
2022-06-23,sell,KOTAKBANK.NS,0,1684.1,0,8520148.13
2022-06-23,sell,ITC.NS,0,265.5,0,8520148.13
2022-06-23,sell,IOC.NS,0,107.3,0,8520148.13
2022-06-23,sell,INFY.NS,0,1452.45,0,8520148.13
2022-06-23,sell,INDUSINDBK.NS,0,784.95,0,8520148.13
2022-06-23,sell,HINDUNILVR.NS,0,2252.6,0,8520148.13
2022-06-23,sell,JSWSTEEL.NS,0,558.95,0,8520148.13
2022-06-23,sell,HEROMOTOCO.NS,0,2674.1,0,8520148.13
2022-06-23,sell,HDFCBANK.NS,0,1335.15,0,8520148.13
2022-06-23,sell,HDFC.NS,0,2164.2,0,8520148.13
2022-06-23,sell,HCLTECH.NS,0,971.25,0,8520148.13
2022-06-23,sell,AXISBANK.NS,0,629.35,0,8520148.13
2022-06-23,sell,GRASIM.NS,0,1316.05,0,8520148.13
2022-06-23,sell,HINDALCO.NS,0,317.6,0,8520148.13
2022-06-23,sell,BAJFINANCE.NS,0,5448.15,0,8520148.13
2022-06-23,sell,DRREDDY.NS,0,4294.9,0,8520148.13
2022-06-23,buy,WIPRO.NS,5,419.05,96,8518050.79
2022-06-23,buy,SBIN.NS,5,451.4,87,8515791.53
2022-06-23,buy,UPL.NS,5,633.2,92,8512622.36
2022-06-23,buy,LT.NS,5,1494.3,100,8505143.39
2022-06-23,buy,EICHERMOT.NS,5,2819.05,96,8491034.05
2022-06-23,buy,M&M.NS,5,1027.7,99,8485890.41
2022-06-23,buy,MARUTI.NS,5,8271.0,102,8444494.05
2022-06-23,buy,NTPC.NS,5,136.5,95,8443810.87
2022-06-23,buy,POWERGRID.NS,5,208.55,98,8442767.08
2022-06-23,buy,RELIANCE.NS,5,2464.95,94,8430430.0
2022-06-23,buy,CIPLA.NS,5,933.35,104,8425758.59
2022-06-23,buy,BHARTIARTL.NS,5,660.2,89,8422454.29
2022-06-23,buy,TATASTEEL.NS,5,841.3,99,8418243.58
2022-06-23,buy,BAJAJ-AUTO.NS,5,3784.8,102,8399300.66
2022-06-23,buy,SUNPHARMA.NS,5,824.9,98,8395172.03
2022-06-23,buy,BAJAJFINSV.NS,5,11552.85,101,8337350.02
2022-06-23,buy,TECHM.NS,5,991.1,97,8332389.56
2022-06-23,buy,TATACONSUM.NS,5,718.45,104,8328793.72
2022-06-23,buy,ICICIBANK.NS,5,699.15,94,8325294.48
2022-06-24,sell,ASIANPAINT.NS,0,2760.9,0,8128749.38
2022-06-24,sell,ULTRACEMCO.NS,0,5468.3,0,8128749.38
2022-06-24,sell,TITAN.NS,0,2045.6,0,8128749.38
2022-06-24,sell,TCS.NS,0,3293.1,0,8128749.38
2022-06-24,sell,TATAMOTORS.NS,0,409.3,0,8128749.38
2022-06-24,sell,SHREECEM.NS,0,18793.65,0,8128749.38
2022-06-24,sell,ONGC.NS,0,137.35,0,8128749.38
2022-06-24,sell,NESTLEIND.NS,0,17231.65,0,8128749.38
2022-06-24,sell,LUPIN.NS,0,629.4,0,8128749.38
2022-06-24,sell,KOTAKBANK.NS,0,1698.4,0,8128749.38
2022-06-24,sell,ITC.NS,0,265.85,0,8128749.38
2022-06-24,sell,IOC.NS,0,108.5,0,8128749.38
2022-06-24,sell,INFY.NS,0,1441.1,0,8128749.38
2022-06-24,sell,INDUSINDBK.NS,0,806.5,0,8128749.38
2022-06-24,sell,HINDUNILVR.NS,0,2303.9,0,8128749.38
2022-06-24,sell,JSWSTEEL.NS,0,567.8,0,8128749.38
2022-06-24,sell,HEROMOTOCO.NS,0,2759.95,0,8128749.38
2022-06-24,sell,HDFCBANK.NS,0,1353.8,0,8128749.38
2022-06-24,sell,HDFC.NS,0,2189.0,0,8128749.38
2022-06-24,sell,HCLTECH.NS,0,966.7,0,8128749.38
2022-06-24,sell,AXISBANK.NS,0,634.0,0,8128749.38
2022-06-24,sell,GRASIM.NS,0,1323.25,0,8128749.38
2022-06-24,sell,HINDALCO.NS,0,322.3,0,8128749.38
2022-06-24,sell,BAJFINANCE.NS,0,5587.75,0,8128749.38
2022-06-24,sell,DRREDDY.NS,0,4309.65,0,8128749.38
2022-06-24,buy,WIPRO.NS,5,418.75,106,8126653.54
2022-06-24,buy,SBIN.NS,5,454.25,97,8124380.01
2022-06-24,buy,UPL.NS,5,640.85,102,8121172.56
2022-06-24,buy,LT.NS,5,1494.85,110,8113690.84
2022-06-24,buy,EICHERMOT.NS,5,2877.9,106,8099286.95
2022-06-24,buy,M&M.NS,5,1072.05,109,8093921.34
2022-06-24,buy,MARUTI.NS,5,8363.2,112,8052063.52
2022-06-24,buy,NTPC.NS,5,136.6,105,8051379.84
2022-06-24,buy,POWERGRID.NS,5,208.95,108,8050334.04
2022-06-24,buy,RELIANCE.NS,5,2500.05,104,8037821.29
2022-06-24,buy,CIPLA.NS,5,933.7,114,8033148.12
2022-06-24,buy,BHARTIARTL.NS,5,671.2,99,8029788.77
2022-06-24,buy,TATASTEEL.NS,5,852.85,109,8025520.25
2022-06-24,buy,BAJAJ-AUTO.NS,5,3813.35,112,8006434.44
2022-06-24,buy,SUNPHARMA.NS,5,824.6,108,8002307.31
2022-06-24,buy,BAJAJFINSV.NS,5,11582.95,111,7944334.65
2022-06-24,buy,TECHM.NS,5,981.2,107,7939423.74
2022-06-24,buy,TATACONSUM.NS,5,729.0,114,7935775.1
2022-06-24,buy,ICICIBANK.NS,5,713.45,104,7932204.28
2022-06-27,sell,ASIANPAINT.NS,0,2820.95,0,7734348.87
2022-06-27,sell,ULTRACEMCO.NS,0,5560.25,0,7734348.87
2022-06-27,sell,TITAN.NS,0,2040.3,0,7734348.87
2022-06-27,sell,TCS.NS,0,3314.7,0,7734348.87
2022-06-27,sell,TATAMOTORS.NS,0,414.5,0,7734348.87
2022-06-27,sell,SHREECEM.NS,0,19101.5,0,7734348.87
2022-06-27,sell,ONGC.NS,0,141.5,0,7734348.87
2022-06-27,sell,NESTLEIND.NS,0,17358.25,0,7734348.87
